SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_380	SPECTRAL_390	SPECTRAL_400	SPECTRAL_410	SPECTRAL_420	SPECTRAL_430	SPECTRAL_440	SPECTRAL_450	SPECTRAL_460	SPECTRAL_470	SPECTRAL_480	SPECTRAL_490	SPECTRAL_500	SPECTRAL_510	SPECTRAL_520	SPECTRAL_530	SPECTRAL_540	SPECTRAL_550	SPECTRAL_560	SPECTRAL_570	SPECTRAL_580	SPECTRAL_590	SPECTRAL_600	SPECTRAL_610	SPECTRAL_620	SPECTRAL_630	SPECTRAL_640	SPECTRAL_650	SPECTRAL_660	SPECTRAL_670	SPECTRAL_680	SPECTRAL_690	SPECTRAL_700	SPECTRAL_710	SPECTRAL_720	SPECTRAL_730	SPECTRAL_740	SPECTRAL_750	SPECTRAL_760	SPECTRAL_770	SPECTRAL_780	
END_DATA_FORMAT

NUMBER_OF_SETS      70
LGOROWLENGTH        14

BEGIN_DATA
8	0.0000	98.0000	82.0000	0.0000	29.160	16.223	5.340	47.266	62.919	28.785	0.004000	0.037000	0.081000	0.095000	0.098000	0.091000	0.074000	0.060000	0.061000	0.061000	0.052000	0.044000	0.040000	0.036000	0.033000	0.034000	0.038000	0.038000	0.039000	0.061000	0.106000	0.260000	0.382000	0.519000	0.577000	0.610000	0.650000	0.695000	0.741000	0.786000	0.823000	0.850000	0.868000	0.878000	0.892000	0.910000	0.944000	0.947000	0.947000	0.947000	0.947000	
9	30.0000	25.0000	36.0000	0.0000	37.700	38.240	30.911	68.197	2.695	0.996	0.007000	0.056000	0.129000	0.193000	0.253000	0.325000	0.342000	0.320000	0.386000	0.471000	0.472000	0.441000	0.417000	0.384000	0.363000	0.359000	0.367000	0.357000	0.342000	0.365000	0.393000	0.416000	0.411000	0.400000	0.400000	0.406000	0.415000	0.422000	0.427000	0.449000	0.501000	0.585000	0.688000	0.745000	0.802000	0.835000	0.871000	0.873000	0.873000	0.873000	0.873000	
10	100.0000	39.2000	0.0000	0.0000	12.905	15.662	37.979	46.528	-13.755	-46.609	0.127000	0.090000	0.114000	0.176000	0.253000	0.392000	0.473000	0.478000	0.522000	0.549000	0.507000	0.436000	0.372000	0.309000	0.264000	0.216000	0.169000	0.145000	0.118000	0.094000	0.083000	0.070000	0.062000	0.054000	0.052000	0.052000	0.052000	0.051000	0.050000	0.054000	0.069000	0.100000	0.170000	0.235000	0.337000	0.411000	0.484000	0.488000	0.488000	0.488000	0.488000	
11	97.0000	68.0000	9.0000	36.0000	5.449	5.853	12.370	29.037	-2.255	-28.593	0.233000	0.082000	0.084000	0.113000	0.135000	0.165000	0.168000	0.154000	0.159000	0.159000	0.139000	0.120000	0.106000	0.090000	0.080000	0.071000	0.064000	0.058000	0.050000	0.044000	0.042000	0.039000	0.036000	0.033000	0.032000	0.032000	0.032000	0.032000	0.032000	0.034000	0.042000	0.062000	0.109000	0.158000	0.245000	0.314000	0.386000	0.391000	0.391000	0.391000	0.391000	
12	100.0000	89.0000	0.0000	0.0000	6.876	6.219	19.186	29.959	9.243	-43.740	0.094000	0.076000	0.098000	0.145000	0.199000	0.284000	0.313000	0.283000	0.243000	0.203000	0.161000	0.131000	0.113000	0.092000	0.080000	0.072000	0.066000	0.059000	0.050000	0.046000	0.045000	0.042000	0.039000	0.035000	0.033000	0.033000	0.034000	0.033000	0.033000	0.035000	0.043000	0.064000	0.111000	0.161000	0.249000	0.318000	0.391000	0.395000	0.395000	0.395000	0.395000	
13	93.0000	90.0000	90.0000	0.0000	5.318	5.180	4.732	27.241	3.942	-2.573	0.016000	0.039000	0.062000	0.068000	0.069000	0.064000	0.054000	0.048000	0.055000	0.064000	0.063000	0.059000	0.057000	0.053000	0.050000	0.050000	0.050000	0.048000	0.045000	0.047000	0.050000	0.053000	0.052000	0.052000	0.054000	0.057000	0.064000	0.071000	0.080000	0.095000	0.126000	0.183000	0.290000	0.376000	0.493000	0.570000	0.639000	0.643000	0.643000	0.643000	0.643000	
14	86.0000	80.0000	78.0000	0.0000	6.901	6.768	6.194	31.272	3.839	-2.860	0.005000	0.041000	0.072000	0.082000	0.085000	0.081000	0.070000	0.063000	0.073000	0.086000	0.084000	0.079000	0.075000	0.069000	0.065000	0.064000	0.066000	0.063000	0.059000	0.062000	0.066000	0.070000	0.069000	0.068000	0.070000	0.074000	0.081000	0.089000	0.098000	0.114000	0.148000	0.211000	0.325000	0.412000	0.528000	0.602000	0.672000	0.676000	0.676000	0.676000	0.676000	
15	3.0000	30.0000	100.0000	0.0000	48.445	44.365	7.920	72.472	16.147	60.967	0.001000	0.016000	0.043000	0.043000	0.039000	0.035000	0.031000	0.029000	0.050000	0.125000	0.217000	0.280000	0.315000	0.321000	0.321000	0.338000	0.367000	0.368000	0.368000	0.431000	0.505000	0.601000	0.629000	0.653000	0.669000	0.684000	0.706000	0.738000	0.768000	0.797000	0.827000	0.853000	0.871000	0.881000	0.894000	0.907000	0.917000	0.917000	0.917000	0.917000	0.917000	
16	100.0000	45.0000	5.0000	0.0000	11.559	13.946	32.944	44.156	-12.756	-43.549	0.249000	0.102000	0.113000	0.169000	0.234000	0.349000	0.412000	0.411000	0.449000	0.473000	0.436000	0.377000	0.323000	0.268000	0.231000	0.191000	0.152000	0.130000	0.107000	0.086000	0.077000	0.065000	0.058000	0.051000	0.049000	0.049000	0.049000	0.048000	0.047000	0.051000	0.064000	0.094000	0.160000	0.222000	0.322000	0.395000	0.467000	0.471000	0.471000	0.471000	0.471000	
17	4.0000	100.0000	95.0000	0.0000	26.945	15.079	4.446	45.743	60.761	30.917	0.002000	0.026000	0.068000	0.077000	0.077000	0.070000	0.057000	0.047000	0.052000	0.056000	0.049000	0.042000	0.038000	0.034000	0.032000	0.032000	0.036000	0.037000	0.037000	0.058000	0.100000	0.241000	0.351000	0.474000	0.527000	0.561000	0.604000	0.658000	0.713000	0.767000	0.812000	0.848000	0.870000	0.883000	0.900000	0.919000	0.943000	0.944000	0.944000	0.944000	0.944000	
